Property_Type,BHK,Bathrooms,Balcony,Area_SqFt,Locality,City,Price_INR,Property_Age,Floor_Number,Furnished_Status,Metro_Distance,Hospital_Distance,School_Distance,Mall_Distance,Airport_Distance,Crime_Index,Infrastructure_Growth_Score
Super built-up  Area,2.0,2.0,1.0,1500.0,Hormavu,Bangalore,7800000.0,10,11,Semi-Furnished,11.03,0.51,2.12,3.7,31.43,15,85
Plot  Area,7.0,7.0,0.0,950.0,Vishwapriya Layout,Bangalore,11500000.0,3,5,Fully Furnished,4.77,4.01,2.0,4.51,29.13,32,86
Built-up  Area,3.0,3.0,3.0,1870.0,Peenya,Bangalore,11000000.0,12,2,Fully Furnished,11.77,3.13,1.66,2.39,44.15,10,85
Plot  Area,3.0,3.0,1.0,1600.0,Sarjapur,Bangalore,7500000.0,6,8,Unfurnished,3.24,2.46,3.18,1.32,40.0,27,92
Super built-up  Area,2.0,1.0,1.0,880.0,Electronic City,Bangalore,1650000.0,18,14,Fully Furnished,2.09,1.79,3.71,6.63,39.6,14,91
Plot  Area,4.0,4.0,0.0,1200.0,Ramaswamy Palya - Kammanahalli Main Road,Bangalore,21000000.0,1,8,Fully Furnished,4.86,1.38,3.99,1.49,44.15,20,82
Super built-up  Area,3.0,3.0,2.0,1535.0,Kudlu Gate,Bangalore,8300000.0,9,7,Semi-Furnished,3.61,4.47,0.67,5.83,38.78,34,90
Built-up  Area,2.0,2.0,1.0,950.0,Kanakpura Road,Bangalore,5700000.0,12,6,Semi-Furnished,6.93,2.13,0.36,1.46,27.93,10,82
Super built-up  Area,2.0,2.0,1.0,1360.0,Devanahalli,Bangalore,6500000.0,5,1,Unfurnished,5.18,2.52,1.25,7.69,40.69,26,94
Super built-up  Area,2.0,2.0,0.0,1073.5,8th Phase JP Nagar,Bangalore,5400500.0,11,8,Fully Furnished,3.3,3.71,2.79,1.52,43.28,10,80
Super built-up  Area,3.0,3.0,1.0,1280.0,Bommasandra Industrial Area,Bangalore,5040000.0,11,1,Fully Furnished,10.36,4.04,1.74,9.56,31.61,12,80
Super built-up  Area,3.0,2.0,2.0,1260.0,Chandra Layout,Bangalore,8505000.0,19,8,Unfurnished,6.83,3.31,1.97,5.11,39.77,21,84
Built-up  Area,8.0,8.0,2.0,5000.0,Hennur Road,Bangalore,25000000.0,10,11,Semi-Furnished,2.65,2.39,4.0,3.41,36.38,14,87
Super built-up  Area,5.0,5.0,1.0,3050.0,Yelahanka,Bangalore,21300000.0,6,2,Fully Furnished,2.29,0.79,2.07,2.45,25.5,14,83
Super built-up  Area,3.0,3.0,1.0,1563.05,Kasavanhalli,Bangalore,10500000.0,0,8,Unfurnished,5.52,3.25,3.68,5.44,28.4,33,97
Super built-up  Area,2.0,2.0,1.0,1000.0,ISRO Layout,Bangalore,6000000.0,0,10,Semi-Furnished,11.03,4.31,1.76,6.33,33.67,18,80
Super built-up  Area,2.0,2.0,1.0,1167.0,Anandapura,Bangalore,4376000.0,19,12,Unfurnished,6.83,0.71,1.87,1.45,42.18,22,88
Super built-up  Area,7.0,7.0,2.0,4000.0,Vishveshwarya Layout,Bangalore,22500000.0,12,4,Unfurnished,2.96,2.09,3.13,9.39,34.25,16,82
Super built-up  Area,3.0,3.0,2.0,1828.0,Kothanur,Bangalore,11000000.0,8,7,Fully Furnished,4.09,1.61,3.63,4.53,33.7,27,83
Super built-up  Area,2.0,2.0,1.0,890.0,Kengeri Satellite Town,Bangalore,3500000.0,2,5,Semi-Furnished,2.02,2.93,3.29,8.1,35.97,27,85
Super built-up  Area,3.0,3.0,3.0,1612.0,Basavanapura,Bangalore,4674000.0,6,8,Fully Furnished,10.23,0.55,1.99,4.22,26.42,17,90
Plot  Area,6.0,5.0,2.0,1034.0,Dinnur,Bangalore,18500000.0,5,12,Fully Furnished,11.43,4.47,2.85,4.71,37.06,17,82
Super built-up  Area,3.0,4.0,2.0,1710.0,Mysore Road,Bangalore,9131000.0,7,6,Semi-Furnished,2.32,4.06,1.2,1.54,38.14,28,82
Super built-up  Area,2.0,2.0,1.0,957.0,Kannamangala,Bangalore,5800000.0,8,14,Semi-Furnished,3.32,0.97,0.49,4.36,38.31,22,93
Super built-up  Area,3.0,2.0,3.0,1250.0, Devarachikkanahalli,Bangalore,4400000.0,4,5,Semi-Furnished,3.3,4.52,0.8,3.39,41.24,11,82
Super built-up  Area,3.0,4.0,2.0,2795.0,Sanjeevini Nagar,Bangalore,23500000.0,0,1,Fully Furnished,9.94,3.95,0.29,8.06,34.01,12,89
Super built-up  Area,2.0,2.0,2.0,1125.0,Hulimavu,Bangalore,5000000.0,18,3,Semi-Furnished,10.31,4.8,1.89,2.93,33.5,16,91
Super built-up  Area,2.0,2.0,1.0,1020.0,Electronic City Phase II,Bangalore,3060000.0,9,10,Semi-Furnished,5.9,1.66,2.69,9.67,30.38,12,91
Super built-up  Area,2.0,2.0,2.0,1200.0,Kalena Agrahara,Bangalore,5000000.0,11,9,Semi-Furnished,11.68,4.35,0.33,7.56,39.71,11,91
Super built-up  Area,3.0,3.0,3.0,1735.0,Thanisandra,Bangalore,13500000.0,14,14,Unfurnished,4.22,1.16,0.4,6.16,44.87,19,86
Super built-up  Area,3.0,3.0,1.0,2050.0,Thanisandra,Bangalore,14500000.0,8,9,Semi-Furnished,7.01,3.63,2.18,4.91,28.01,13,90
Plot  Area,4.0,4.0,0.0,3750.0,Mahalakshmi Layout,Bangalore,76000000.0,19,5,Fully Furnished,11.96,0.82,3.77,6.81,28.66,25,89
Built-up  Area,3.0,2.0,3.0,1350.0,Yarandahalli,Bangalore,4800000.0,16,3,Unfurnished,10.18,3.71,0.74,9.63,38.62,26,97
Super built-up  Area,2.0,2.0,1.0,1063.0,Hosa Road,Bangalore,3200000.0,16,6,Fully Furnished,6.62,1.18,2.78,9.88,33.07,23,92
Super built-up  Area,3.0,3.0,1.0,1904.0,Keshava Nagar,Bangalore,15000000.0,19,5,Unfurnished,2.64,3.81,2.69,1.28,31.64,22,85
Built-up  Area,4.0,4.0,2.0,4200.0,Whitefield,Bangalore,42000000.0,11,1,Semi-Furnished,11.0,2.48,1.36,5.78,34.58,34,84
Super built-up  Area,3.0,3.0,1.0,2000.0,RMV Extension,Bangalore,17500000.0,6,2,Unfurnished,7.19,1.11,0.49,5.39,40.62,25,94
Super built-up  Area,2.0,2.0,0.0,1242.5,Sarjapur,Bangalore,4349000.0,1,12,Fully Furnished,4.74,3.07,2.51,8.64,39.07,25,83
Super built-up  Area,3.0,2.0,2.0,1425.0,Tejaswini Nagar,Bangalore,7500000.0,2,5,Unfurnished,6.24,0.61,1.88,8.83,40.62,19,85
Super built-up  Area,3.0,2.0,1.0,1500.0,Electronic City,Bangalore,6450000.0,16,14,Semi-Furnished,4.76,1.57,1.39,6.8,36.62,20,87
